Word,polarity,Sense
drought,1,a shortage of rainfall
love,2,have a great affection or liking for
scarcity,1,a small and inadequate amount
water,2,A colourless transparent odourless  liquid which forms the seas  lakes  rivers  and rain and is the basis of the fluids of living organisms
suicide,1,person who kills himself intentionally
kill,1,destroy a vitally essential quality of or in
drop,1,go down in value
rude,1,lacking civility or good manners
severe,1,causing fear or anxiety by threatening great harm
battle,0,an energetic attempt to achieve something
worsen,1,decline
fund,2,accumulate a fund for the discharge of a recurrent liability
crop,2,A cultivated plant that is grown on a large scale commercially
